fig_num,minifig_name,number_of_minifig_parts,inventory_id,minifig_quantitiy,set_num,set_name,year,number_of_parts,theme_id,theme_name,version
fig-009236,"Medium Blue Torso, Blue Overall, Blue Hat",5,10901,1,10254-1,Winter Holiday Train,2016,735,206,Seasonal,1
fig-009237,"Light Bluish Gray Torso, Dark Red Legs, Dark Red Hat",4,10901,1,10254-1,Winter Holiday Train,2016,735,206,Seasonal,1
fig-009233,"Kid - Red Torso, Blue Legs, Medium Nougat Hair",4,35900,1,10254-1,Winter Holiday Train,2016,735,206,Seasonal,2
fig-009234,"Kid - Green Torso, Dark Tan Legs, Dark Brown Hair",4,35900,1,10254-1,Winter Holiday Train,2016,735,206,Seasonal,2
fig-009235,"Black Torso, Dark Bluish Gray Legs, Reddish Brown Hair",4,35900,1,10254-1,Winter Holiday Train,2016,735,206,Seasonal,2
fig-009236,"Medium Blue Torso, Blue Overall, Blue Hat",5,35900,1,10254-1,Winter Holiday Train,2016,735,206,Seasonal,2
fig-009237,"Light Bluish Gray Torso, Dark Red Legs, Dark Red Hat",4,35900,1,10254-1,Winter Holiday Train,2016,735,206,Seasonal,2
fig-009238,George Best,4,45377,1,5006171-1,The United Trinity Statue,2020,37,598,Promotional,1
fig-009239,Bobby Charlton,4,45377,1,5006171-1,The United Trinity Statue,2020,37,598,Promotional,1
fig-009240,Denis Law,4,45377,1,5006171-1,The United Trinity Statue,2020,37,598,Promotional,1
fig-009241,"Medium Lavender Torso, Medium Blue Legs, Tan Hair",4,61403,1,10273-1,Haunted House,2020,3232,721,Icons,1
fig-009242,"Dark Azure Torso, Black Legs, Reddish Brown Hair",4,61403,1,10273-1,Haunted House,2020,3232,721,Icons,1
fig-009243,"Black Torso, Dark Bluish Grey Legs, Dark Brown Hair",4,61403,1,10273-1,Haunted House,2020,3232,721,Icons,1
fig-009244,"Ghost - Skirt, Hood",4,61403,2,10273-1,Haunted House,2020,3232,721,Icons,1
fig-009245,"Black Torso, Black Legs, Black Top Hat",4,61403,2,10273-1,Haunted House,2020,3232,721,Icons,1
fig-009246,"Dark Turquoise Torso, Dark Blue Legs, Medium Nougat Hair",4,61403,1,10273-1,Haunted House,2020,3232,721,Icons,1
fig-009247,"Tan Torso Sweater, Dark Blue Legs, Dark Brown Hair",4,61403,1,10273-1,Haunted House,2020,3232,721,Icons,1
fig-009248,"Skeleton, Standard Face, Top Hat, Bent Arms",7,61403,1,10273-1,Haunted House,2020,3232,721,Icons,1
fig-009249,Shadow Knight Vladek,6,6354,1,8800-1,Vladek's Siege Engine,2004,193,186,Castle,1
fig-009258,Shadow Knight,4,6354,1,8800-1,Vladek's Siege Engine,2004,193,186,Castle,1
fig-009255,Santis,6,15102,1,8780-1,Citadel of Orlan,2004,483,186,Castle,1
fig-009258,Shadow Knight,4,15102,1,8780-1,Citadel of Orlan,2004,483,186,Castle,1
fig-010056,"Rascus, Printed Torso",5,15102,1,8780-1,Citadel of Orlan,2004,483,186,Castle,1
fig-010057,The Guardian,5,15102,1,8780-1,Citadel of Orlan,2004,483,186,Castle,1
fig-009255,Santis,6,15770,1,8778-1,Border Ambush,2004,180,186,Castle,1
fig-009258,Shadow Knight,4,15770,1,8778-1,Border Ambush,2004,180,186,Castle,1
fig-009255,Santis,6,27495,1,8780-1,Citadel of Orlan,2004,483,186,Castle,2
fig-009258,Shadow Knight,4,27495,1,8780-1,Citadel of Orlan,2004,483,186,Castle,2
fig-010056,"Rascus, Printed Torso",5,27495,1,8780-1,Citadel of Orlan,2004,483,186,Castle,2
fig-010057,The Guardian,5,27495,1,8780-1,Citadel of Orlan,2004,483,186,Castle,2
fig-009255,Santis,6,100506,1,8778-1,Border Ambush,2004,180,186,Castle,2
fig-009258,Shadow Knight,4,100506,1,8778-1,Border Ambush,2004,180,186,Castle,2
fig-009259,"Kid - Black Torso, Wetsuit, Black Legs, Medium Nougat Hair",4,10127,1,31035-1,Beach Hut,2015,286,22,Creator,1
fig-009260,"White Torso, Black Legs, Red Cap",4,10127,1,31035-1,Beach Hut,2015,286,22,Creator,1
fig-009261,"Bright Pink Torso, White Legs, Medium Nougat Hair",4,11134,1,31063-1,Beachside Vacation,2017,275,22,Creator,1
fig-009262,"White Torso, Dark Blue Legs, Tan Hair",4,11134,1,31063-1,Beachside Vacation,2017,275,22,Creator,1
fig-009263,"Black Torso, Dark Blue Legs, Dark Orange Hair - Squared Glasses",4,7269,1,31026-1,Bike Shop & Cafe,2014,1023,22,Creator,1
fig-009264,"Medium Blue Torso, Blue Legs, Dark Brown Hair",4,7269,1,31026-1,Bike Shop & Cafe,2014,1023,22,Creator,1
fig-009265,"Orange Torso, Dark Tan Legs, Black Hair",4,7269,1,31026-1,Bike Shop & Cafe,2014,1023,22,Creator,1
fig-009266,"Kid - White Torso, Dark Blue Legs, Dark Orange Hair",4,56530,1,31108-1,Caravan Family Holiday,2020,766,22,Creator,1
fig-009267,"Green Torso, Red Legs, Reddish Brown Hair",4,56530,1,31108-1,Caravan Family Holiday,2020,766,22,Creator,1
fig-009268,"Dark Tan Torso, Dark Tan Legs, Dark Brown Hair",4,56530,1,31108-1,Caravan Family Holiday,2020,766,22,Creator,1
fig-009266,"Kid - White Torso, Dark Blue Legs, Dark Orange Hair",4,116147,1,31108-1,Caravan Family Holiday,2020,766,22,Creator,2
fig-009267,"Green Torso, Red Legs, Reddish Brown Hair",4,116147,1,31108-1,Caravan Family Holiday,2020,766,22,Creator,2
fig-009268,"Dark Tan Torso, Dark Tan Legs, Dark Brown Hair",4,116147,1,31108-1,Caravan Family Holiday,2020,766,22,Creator,2
fig-009269,"Kid - White Torso, Dark Azure Legs, Dark Brown Hair",4,8006,1,31038-1,Changing Seasons,2015,536,22,Creator,1
fig-009270,"Dark Blue Torso, Dark Tan Legs, Red Cap",4,8006,1,31038-1,Changing Seasons,2015,536,22,Creator,1
fig-009271,"Olive Green Torso, White Legs, Red Cap",4,4845,1,31050-1,Corner Deli,2016,467,22,Creator,1
fig-009272,"Kid - Blue Torso, Blue Legs, Medium Nougat Hair",4,4845,1,31050-1,Corner Deli,2016,467,22,Creator,1
fig-009273,"Red Bathing Suit, Dark Brown Hair",4,24634,1,31083-1,Cruising Adventures,2018,597,22,Creator,1
fig-009274,"White Torso, Blue/Yellow Legs, Reddish Brown Hair",4,24634,1,31083-1,Cruising Adventures,2018,597,22,Creator,1
fig-009275,"Kid - Orange Torso, Medium Lavender Legs, Medium Nougat Hair",4,24634,1,31083-1,Cruising Adventures,2018,597,22,Creator,1
fig-009280,"Chef, Red Neckerchief, Black Legs, Glasses",4,7667,1,60050-1,Train Station,2014,423,52,City,1
fig-009281,"Man, Open Dark Blue Jacket, Sand Blue Legs, Dark Orange Hair",4,7667,1,60050-1,Train Station,2014,423,52,City,1
fig-009282,"Train Conductor, Dark Blue Suit with Tie and Train Logo, Dark Red Hat",4,7667,1,60050-1,Train Station,2014,423,52,City,1
fig-009283,"Man, Green V-Neck Sweater, Blue Legs, Black Hair",4,7667,1,60050-1,Train Station,2014,423,52,City,1
fig-009284,"Woman, Cardigan Tied with Bow and Necklace, White Legs, Dark Brown Hair",4,7667,1,60050-1,Train Station,2014,423,52,City,1
fig-009280,"Chef, Red Neckerchief, Black Legs, Glasses",4,169549,1,60050-1,Train Station,2014,423,52,City,2
fig-009281,"Man, Open Dark Blue Jacket, Sand Blue Legs, Dark Orange Hair",4,169549,1,60050-1,Train Station,2014,423,52,City,2
fig-009282,"Train Conductor, Dark Blue Suit with Tie and Train Logo, Dark Red Hat",4,169549,1,60050-1,Train Station,2014,423,52,City,2
fig-009283,"Man, Green V-Neck Sweater, Blue Legs, Black Hair",4,169549,1,60050-1,Train Station,2014,423,52,City,2
fig-009284,"Woman, Cardigan Tied with Bow and Necklace, White Legs, Dark Brown Hair",4,169549,1,60050-1,Train Station,2014,423,52,City,2
fig-009285,"Man, Blue Jacket with Orange Stripes, Dark Blue Legs, Red Cap, Sunglasses",4,14513,1,60052-1,Cargo Train,2014,888,52,City,1
fig-009286,"Train Worker, Orange Safety Vest with Train Logo over Olive Green Hoodie, Dark Bluish Gray Legs, Red Hard Hat, Brown Beard",4,14513,1,60052-1,Cargo Train,2014,888,52,City,1
fig-009287,"Train Worker, Woman, Orange Safety Vest with Train Logo over Olive Green Hoodie, Light Bluish Gray Legs, Red Cap with Ear Defenders",5,14513,1,60052-1,Cargo Train,2014,888,52,City,1
